ts_code,symbol,exchange,name,fut_code,type,related_code
SR.ZCE,SR,CZCE,白糖主力,SR,2,SR2205.ZCE
SRL.ZCE,SRL,CZCE,白糖连续,SR,1,
SS.SHF,SS,SHFE,不锈钢主力,SS,2,SS2204.SHF
SSL.SHF,SSL,SHFE,不锈钢连续,SS,1,
TA.ZCE,TA,CZCE,PTA主力,TA,2,TA2205.ZCE
TAL.ZCE,TAL,CZCE,PTA连续,TA,1,
UR.ZCE,UR,CZCE,尿素主力,UR,2,UR2205.ZCE
URL.ZCE,URL,CZCE,尿素连续,UR,1,
V.DCE,V,DCE,PVC主力,V,2,V2205.DCE
VL.DCE,VL,DCE,PVC连续,V,1,
Y.DCE,Y,DCE,豆油主力,Y,2,Y2205.DCE
YL.DCE,YL,DCE,豆油连续,Y,1,
ZC.ZCE,ZC,CZCE,动力煤主力,ZC,2,ZC2205.ZCE
ZCL.ZCE,ZCL,CZCE,动力煤连续,ZC,1,
ZN.SHF,ZN,SHFE,沪锌主力,ZN,2,ZN2204.SHF
ZNL.SHF,ZNL,SHFE,沪锌连续,ZN,1,
